id,zone,from,subject,body,giveawayPhrase,level1,level2
E011,,jobs@easy-remote-income.net,"Work from home — $75/hour, no experience needed, start today","Hi,  We are urgently hiring remote data entry workers. No experience required. No qualifications needed. Work from home on your own schedule.  Pay: $75 per hour Hours: flexible, minimum 2 hours per day Start date: immediately  To secure your position, complete the following steps today: 1. Reply with your full name and address 2. Pay the $99 starter kit and training fee 3. We will courier your equipment within 3 business days  Over 4,000 people are already earning with us. Do not miss this opportunity — positions fill fast.  [ APPLY NOW ]",Pay the $99 starter kit and training fee,High-Risk Fraud,Job Scam
E012,,mailer@bankofamerica.com,Your Bank of America statement is ready — February 2026,"Your February 2026 statement is now available.  Account: Checking (...4821) Statement period: Feb 1 – Feb 28, 2026  Sign in to Online Banking at bankofamerica.com to view your full statement.  Minimum payment due: $0.00 Next statement date: March 31, 2026  Questions? Call 1-800-432-1000 or visit bankofamerica.com/help.  Bank of America, N.A. © 2026 Bank of America Corporation",Sign in to Online Banking at bankofamerica.com to view your full statement,Legitimate,Bank / Financial Notification
E013,,sextortion-dept@anon-collective.cc,"We have recorded you. Pay $1,500 Bitcoin or we send the video.","Hello.  I have been monitoring your online activity for the past 3 months using malware I installed when you visited an adult website. I have a split-screen recording of you and the content you were viewing.  If you want me to delete this recording, transfer exactly $1,500 in Bitcoin to the wallet address below within 48 hours:  BTC Wallet: 1A2B3C4D5E6F7G8H9I0J  Do not reply to this email. Do not contact the police. If you do not pay within 48 hours, I will send the video to every contact in your email and social media accounts.  You have been warned.",Do not reply to this email. Do not contact the police.,High-Risk Fraud,Extortion & Sextortion
E014,,newsletter@theverge.com,"The Verge Daily — Top stories for March 14, 2026","Good morning,  Here are today's top stories from The Verge:  • Apple announces M5 chip — what's new and what it means for the Mac lineup • The EU's AI Act takes effect: what changes for users today • Best budget laptops under $500 in 2026 — our top picks  Read these stories and more at theverge.com  Manage your newsletter preferences or unsubscribe at theverge.com/newsletters  — The Verge",Manage your newsletter preferences or unsubscribe at theverge.com/newsletters,Legitimate,Newsletter / Platform Notification
E015,,contact@irs-tax-refund-portal.com,"IRS: You have an unclaimed tax refund of $2,240","INTERNAL REVENUE SERVICE — OFFICIAL NOTICE  Dear Taxpayer,  Our records show that you have an unclaimed federal tax refund of $2,240.00 for the tax year 2024.  To release your refund, you must verify your identity by providing: • Social Security Number • Date of birth • Bank routing and account number for direct deposit  Submit your information at the link below. Refunds not claimed within 14 days will be returned to the U.S. Treasury.  [ CLAIM MY REFUND ] irs-tax-refund-portal.com/claim  IRS Tax Processing Centre",Submit your information at the link below. Refunds not claimed within 14 days will be returned to the U.S. Treasury.,Phishing & Spoofing,Impersonation
E016,,abuse@harass-target.net,I know where you live. You should be scared.,I know your name. I know your address at 14 Maple Drive. I know what car you drive. I know your daily routine.  I have been watching you for weeks. You made a mistake when you posted that comment online and I have not forgotten.  Keep looking over your shoulder. I will be in touch.  Don't bother going to the police. They can't help you.,I know your address at 14 Maple Drive. I know what car you drive. I know your daily routine.,Abuse & Harassment,Stalking / Doxxing
E017,,promo@chase-exclusive-rewards.com,Chase Sapphire: You've earned a $500 bonus — claim in 24 hours,"Dear Chase Cardmember,  Congratulations! As one of our most valued Sapphire cardmembers, you have been selected to receive a $500 cash bonus.  To claim your bonus, sign in using the link below and confirm your card details:  [ CLAIM YOUR $500 BONUS ] chase-exclusive-rewards.com/sapphire-bonus  This offer expires in 24 hours. Chase is unable to extend this deadline. If you do not claim your bonus today, it will be permanently forfeited.  Chase Rewards Team",sign in using the link below and confirm your card details: chase-exclusive-rewards.com/sapphire-bonus,Phishing & Spoofing,Email Phishing
E018,,offers@spotify.com,3 months of Spotify Premium — on us,"Hi there,  We'd like to give you 3 months of Spotify Premium, on us.  As a free plan listener, we're offering you a chance to experience Premium with no commitment. No credit card required for the first 3 months.  Redeem this offer at spotify.com/premium/offer  After 3 months, your plan will revert to free unless you choose to upgrade.  — Spotify",Redeem this offer at spotify.com/premium/offer,Legitimate,Promotional Offer
E019,,security@dropbox.com,New sign-in to your Dropbox account,"Hi,  We noticed a new sign-in to your Dropbox account.  Device: Chrome on Windows Location: Chicago, IL, USA Time: March 14, 2026 at 10:22 AM CT  If this was you, no action is needed.  If you don't recognise this sign-in, secure your account at dropbox.com/account/security  — The Dropbox Security Team","If you don't recognise this sign-in, secure your account at dropbox.com/account/security",Legitimate,Security Notification
E020,,noreply@fedex-parcel-redelivery.com,FedEx: Delivery failed — pay $2.99 to reschedule,"Dear Customer,  We attempted to deliver your FedEx parcel today but were unable to complete delivery as no one was home.  To reschedule your delivery, you must pay a $2.99 redelivery handling fee within 24 hours:  [ PAY $2.99 AND RESCHEDULE ] fedex-parcel-redelivery.com/reschedule  After 24 hours, your parcel will be returned to the sender and the redelivery fee will increase to $14.99.  FedEx Customer Service fedex-parcel-redelivery.com",you must pay a $2.99 redelivery handling fee within 24 hours,Phishing & Spoofing,Email Phishing
E021,,security@apple.com.account-services.net,"Sign-in to your Apple ID from iPhone 15 Pro — Paris, France","Your Apple ID was used to sign in on a new device.  Device: iPhone 15 Pro Location: Paris, France Time: March 14, 2026 at 15:47 CET  If this was you signing in to a new device, you can dismiss this notification.  If you do not recognise this sign-in, your account may be at risk. Review your Apple ID account activity to secure it:  [ Review Account Activity ]  Apple ID | Privacy Policy | Terms & Conditions",security@apple.com.account-services.net,Phishing & Spoofing,Spear Phishing
E022,,david.chen@veridian-consulting.co,Re: March retainer — updated payment details,"Hi,  Hope you're well. Following on from our call last week, just wanted to confirm our updated banking details for the March retainer payment:  Bank: HSBC Account name: Veridian Consulting Ltd Account number: 29384710 Sort code: 40-47-84  Please use these details going forward. Our old account is being phased out so please don't use the previous details.  Let me know once the transfer is done.  Thanks, David",Our old account is being phased out so please don't use the previous details.,High-Risk Fraud,Business Email Compromise (BEC)
E023,,noreply@paypal.com,You sent $750.00 to Marcus Webb,"You sent a payment of $750.00 to Marcus Webb (marcus.webb92@gmail.com).  Transaction ID: 5KX29841ND621 Date: March 14, 2026  If you did not authorise this payment, call our fraud team immediately at 1-888-221-1161 to dispute the charge and receive a full refund.  PayPal, Inc.",call our fraud team immediately at 1-888-221-1161 to dispute the charge,Phishing & Spoofing,Clone Phishing
E024,,billing@internal-hr-payroll.net,Payroll update: Re-confirm your bank account by Friday,"Dear Employee,  Due to a scheduled migration of our payroll processing system this weekend, all employees are required to re-confirm their direct deposit bank account details by end of day Friday.  If you do not re-confirm your details, we cannot guarantee your salary will be deposited on the next pay date. Employees who miss the deadline may experience a payment delay of up to two pay periods.  Please complete the verification form here: [ CONFIRM MY BANK DETAILS ]  If you have any questions, contact payroll@internal-hr-payroll.net  HR & Payroll Team",Employees who miss the deadline may experience a payment delay of up to two pay periods.,High-Risk Fraud,Business Email Compromise (BEC)
E025,,no-reply@linkedin.com,You appeared in 34 searches this week,"Hi,  Your LinkedIn profile is gaining attention.  34 people searched for and found your profile this week, including professionals from Deloitte, McKinsey & Company, and Goldman Sachs.  See who's looking at your profile and grow your professional network.  [ View Your Profile Analytics ]  You're receiving this email because you're a LinkedIn member. Unsubscribe from these notifications: linkedin.com/settings/email",Unsubscribe from these notifications: linkedin.com/settings/email,Legitimate,Newsletter / Platform Notification
E026,,attachment-scan@docusign-secure-portal.com,DocuSign: Document ready for your signature,"You have a document waiting for your electronic signature.  Document title: NDA — Service Agreement 2026 Sent by: James Harrington (james.harrington@partnerfirm.com) Expires: March 21, 2026  [ REVIEW AND SIGN DOCUMENT ] docusign-secure-portal.com/sign?doc=NDA2026  Please do not share this link. If you were not expecting this document, contact James Harrington directly at the email above.",docusign-secure-portal.com/sign?doc=NDA2026,Phishing & Spoofing,Email Phishing
E027,,emma.richardson1987@gmail.com,Hi — hope this isn't too forward,"Hi,  I hope this doesn't come across as too forward — I found your email through a mutual connection and felt compelled to reach out.  My name is Emma Richardson. I'm 36, based in London, and I work for a humanitarian NGO in West Africa. It's meaningful work but it gets lonely out here.  I've been through a difficult year personally and I'm looking for genuine connection with someone kind and thoughtful.  I know this is unusual, but sometimes you just have a feeling about someone. I'd love to chat if you're open to it.  Warmly, Emma",I work for a humanitarian NGO in West Africa. It's meaningful work but it gets lonely out here.,High-Risk Fraud,Romance Scam
E028,,security@google.com,Critical security alert — sign-in blocked,"We blocked a sign-in attempt to your Google account.  google.account.security.alert@gmail.com  Device: Android phone Location: Bucharest, Romania Date & time: March 14, 2026, 08:14 AM UTC  We blocked this sign-in because it seemed suspicious. Check your account now.  [ CHECK ACTIVITY ]  You can also review your account at myaccount.google.com  Google Security Team",google.account.security.alert@gmail.com,Phishing & Spoofing,Spoofed Sender Address
E029,,hr@techcorp.com,Confidential: Your performance review outcome — Q4 2025,"Hi,  Your Q4 2025 performance review has been completed and the outcome is available.  Unfortunately, your results place you in the bottom 15% of your peer group. As outlined in our performance management policy, continued underperformance may impact your year-end compensation and employment status.  This is confidential — please do not discuss this with colleagues.  To view your full review and respond to the assessment, please sign in with your company credentials using the link below: [ VIEW MY REVIEW ]  This link expires in 48 hours.  HR & People Operations",please sign in with your company credentials using the link below,Phishing & Spoofing,Spear Phishing
E030,,invoices@acme-partners-billing.co,"Invoice #INV-2026-1142 — $12,400.00 due March 20","Dear Finance Team,  Please find this invoice for professional services rendered in February 2026.  Invoice number: INV-2026-1142 Services: Strategic consulting — Q1 2026 retainer Amount due: $12,400.00 Due date: March 20, 2026  Important: We have recently updated our banking details. Please use the following account for this payment only:  Citibank NA Account name: Acme Partners LLC Account number: 4827391047 Routing: 021000089  Please discard our previous banking details. Contact us at billing@acme-partners-billing.co if you need anything.",Important: We have recently updated our banking details. Please use the following account for this payment only.,High-Risk Fraud,Wire Fraud
E031,,noreply@apple.com,"Your receipt from the App Store — March 14, 2026","Dear Customer,  Thank you for your purchase.  App: ProVPN — Secure & Fast Developer: SecureApps Ltd Amount: $4.99 Date: March 14, 2026 Order ID: MG4B2K9R7X  If you didn't make this purchase, you can request a refund or report a problem at reportaproblem.apple.com  Apple",you can request a refund or report a problem at reportaproblem.apple.com,Legitimate,Subscription Billing
E032,,alert@wellsfargo.com,Unusual activity detected on your Wells Fargo account,"We detected unusual activity on your account and have temporarily placed a hold on outgoing transactions as a precaution.  Account: Checking (...7291) Activity flagged: 3 consecutive failed PIN attempts Date: March 14, 2026  To restore full account access, please call us at 1-800-869-3557 or sign in at wellsfargo.com.  For your security, do not share your PIN, password, or one-time passcode with anyone — including Wells Fargo employees.  Wells Fargo Bank, N.A.","do not share your PIN, password, or one-time passcode with anyone — including Wells Fargo employees",Legitimate,Bank / Financial Notification
E033,,malware-dropper@file-share-cdn.net,Important document shared with you — open immediately,A document has been shared with you by your colleague.  Document: Q4_Financial_Summary_CONFIDENTIAL.exe Size: 2.4MB Shared by: Mike Johnson  [ OPEN DOCUMENT ] file-share-cdn.net/download/Q4_Financial_Summary_CONFIDENTIAL.exe  This link expires in 6 hours. Please open before it expires.,Q4_Financial_Summary_CONFIDENTIAL.exe,Malicious Content,Malware Delivery
E034,,admin@microsoft365-license-renewal.com,Microsoft 365 Business — your licence expires in 3 days,"Dear Administrator,  Your Microsoft 365 Business licence is due to expire in 3 days. If you do not renew before expiry, your team will immediately lose access to Outlook, Teams, SharePoint, and all Office applications.  Current licences: 47 users Renewal cost: $1,410.00/year  Renew now to avoid disruption: [ RENEW MICROSOFT 365 LICENCE ] microsoft365-license-renewal.com/renew  For billing questions, contact admin@microsoft365-license-renewal.com  Microsoft 365 Billing Team","your team will immediately lose access to Outlook, Teams, SharePoint, and all Office applications",Phishing & Spoofing,Email Phishing
E035,,ransom@darkweb-crypto.onion.to,Your files have been encrypted — pay to recover them,"YOUR NETWORK HAS BEEN COMPROMISED.  All files on your system have been encrypted using AES-256 military-grade encryption. Your backups have been deleted.  To receive the decryption key, you must transfer 0.45 BTC (approximately $14,000) to the following wallet within 72 hours:  BTC: 3FZbgi29cpjq2GjdwV8eyHuJJnkLtktZc5  After 72 hours, the ransom amount will double. After 7 days, your decryption key will be permanently deleted.  Do not contact law enforcement. Do not attempt to decrypt files yourself.",All files on your system have been encrypted using AES-256 military-grade encryption. Your backups have been deleted.,Malicious Content,Ransomware Lure
E036,,noreply@notion.so,Sarah Park shared a page with you: 2026 Roadmap,"Sarah Park shared a Notion page with you.  Page: 2026 Product Roadmap Workspace: Acme Corp  [ Open in Notion ]  If you don't know Sarah Park or weren't expecting this, you can safely ignore this email.  — Notion","If you don't know Sarah Park or weren't expecting this, you can safely ignore this email.",Legitimate,Newsletter / Platform Notification
E037,,threats@hacker-collective.xyz,You have 48 hours to remove your post or face consequences,"We have identified you as the author of the post published on March 10 targeting our community.  You are hereby given 48 hours to remove this post and issue a public apology. If you fail to comply, we will:  1. Publish your full name, address, and workplace online 2. Contact your employer with evidence of your online activity 3. File coordinated reports against all your social media accounts  This is a final warning. We are watching.","Publish your full name, address, and workplace online",Abuse & Harassment,Stalking / Doxxing
E038,,no-reply@accounts.google.com,Security alert: New sign-in on Mac,"New sign-in to sarah.jones@gmail.com  Your account was just signed in to from a new Mac.  Chrome on macOS United States (your usual location)  If this was you, you don't need to do anything.  If you don't recognise this sign-in, check your account activity at myaccount.google.com/notifications  Google",United States (your usual location),Legitimate,Security Notification
E039,,support@coinbase.com,Your Coinbase account — withdrawal confirmation,"A withdrawal has been processed from your Coinbase account.  Amount: 0.42 BTC ($13,860.00) Destination wallet: 1A2B3C4D5E6F7G8H9I0J Date: March 14, 2026 at 11:09 AM UTC Transaction ID: TXN-847291  If you initiated this withdrawal, no action is needed.  If you did not authorise this withdrawal, contact Coinbase Support immediately at coinbase.com/support. Do not call any phone numbers listed in other emails — always use coinbase.com directly.  Coinbase Security",Do not call any phone numbers listed in other emails — always use coinbase.com directly.,Legitimate,Bank / Financial Notification
E040,,macro-payload@trusted-docs-share.com,Shared with you: Updated contract terms — please review,"Hi,  Please find attached the updated contract terms document for your review.  [ Download: Contract_Terms_Updated_March2026.docm ] trusted-docs-share.com/download/contract_terms.docm  Note: This document contains macros required to display correctly. If prompted, please click ""Enable Content"" when opening the file.  Please review and sign by end of week.  Thanks","This document contains macros required to display correctly. If prompted, please click 'Enable Content' when opening the file.",Malicious Content,Macro-Embedded Attachment
E041,,no-reply@dropbox.com,James Wilson shared a folder with you: 'Q1 Financials',"Hi,  James Wilson (james.wilson@partnerco.com) has shared a folder with you on Dropbox.  Folder: Q1 Financials Items: 14 files  [ Open folder in Dropbox ]  If you weren't expecting this share, you can report it at dropbox.com/help.  — Dropbox",James Wilson (james.wilson@partnerco.com) has shared a folder with you on Dropbox.,Legitimate,Newsletter / Platform Notification
E042,,hr@globaltech.com,Salary review outcomes — your updated compensation package,"Hi,  I'm pleased to share that following the annual salary review, your compensation has been updated effective April 1, 2026.  Your new package details are available in the HR portal. Please log in using your company SSO at hr.globaltech.com/portal to view the breakdown.  This is confidential information. Please do not discuss specific figures with colleagues.  Best, Karen Mitchell Head of People",Please log in using your company SSO at hr.globaltech.com/portal,Legitimate,Internal Communication
E043,,security@paypal.com,We've limited your account,"We've noticed some unusual activity on your PayPal account and have temporarily limited what you can do until we hear from you.  To help us restore your full access, we need to verify some information.  [ Go to Resolution Centre ]  Your case reference is PP-2026-003847291.  This won't take long. Once we've confirmed your details, we'll remove the limitation immediately.  PayPal","To help us restore your full access, we need to verify some information.",Phishing & Spoofing,Clone Phishing
E044,,noreply@github.com,Two-factor authentication disabled on your account,"Hi,  Two-factor authentication has been disabled on your GitHub account.  If you made this change, no further action is needed.  If you did not make this change, your account may be compromised. Secure your account immediately: github.com/settings/security  GitHub",Two-factor authentication has been disabled on your GitHub account.,Legitimate,Security Notification
E045,,billing@slack.com,Your Slack invoice — March 2026,"Hi,  Your invoice for March 2026 is ready.  Plan: Slack Pro Workspace: Acme Corp Amount: $87.50 Billing period: March 1 – March 31, 2026  Download your invoice or manage your subscription at slack.com/billing  If you have questions about this charge, contact billing@slack.com  Slack",Download your invoice or manage your subscription at slack.com/billing,Legitimate,Subscription Billing
E046,,security@apple.com,Your Apple ID was used to sign in to iCloud on a new browser,"Your Apple ID was used to sign in to iCloud.com.  Browser: Chrome Operating system: Windows 11 Location: Austin, TX, USA Date and time: March 14, 2026 at 9:02 AM CST  If you believe someone else signed in to your account, go to iforgot.apple.com to reset your password. If this sign-in looks familiar, you can disregard this message.  Apple",go to iforgot.apple.com to reset your password,Legitimate,Security Notification
E047,,alerts@chase.com,"Transaction alert: $3,200.00 charge on your Sapphire card","A charge was made on your Chase Sapphire Preferred card.  Amount: $3,200.00 Merchant: Delta Air Lines Date: March 14, 2026 Card ending in: 4821  If you made this purchase, no action is needed.  If you don't recognise this charge, call the number on the back of your card or visit chase.com/fraud.  Chase",call the number on the back of your card or visit chase.com/fraud,Legitimate,Bank / Financial Notification
E048,,no-reply@accounts.google.com,Your Google One storage is 95% full,"Your Google One storage (15 GB free plan) is 95% full.  Used: 14.2 GB of 15 GB  When storage is full, you won't be able to receive emails in Gmail, add photos to Google Photos, or create files in Google Drive.  Manage your storage or upgrade your plan at one.google.com/storage  Google One",Manage your storage or upgrade your plan at one.google.com/storage,Legitimate,Newsletter / Platform Notification
E049,,info@zelle.com,"You received $1,200 from Michael Torres","You've received a payment on Zelle.  From: Michael Torres Amount: $1,200.00 Date: March 14, 2026 Message: ""March rent — thanks""  To accept this payment, verify your Zelle account using the link below. Payments not accepted within 24 hours are returned to the sender.  [ Accept Payment ] zelle-payment-verify.com/accept?token=8473921  Zelle Payment Network",zelle-payment-verify.com/accept?token=8473921,Phishing & Spoofing,Email Phishing
E050,,support@microsoft.com,Action required: Unusual sign-in activity on your Microsoft account,"We detected unusual activity on your Microsoft account.  What happened: Sign-in attempt from an unusual location Where: Jakarta, Indonesia When: March 14, 2026 at 02:14 AM UTC  We blocked this sign-in. If this was you using a VPN or travelling, you can safely ignore this email.  To review recent activity and confirm this block was correct, visit: account.microsoft.com/security  If you did not attempt to sign-in, we recommend changing your password as a precaution.  Microsoft account team",visit: account.microsoft.com/security,Legitimate,Security Notification
